Kursnummer;Kurstitel;Uhrzeit_Beginn;Uhrzeit_Ende;Wochentag;Raum;Trainer;Kategorie;Beschreibung;Sparte;Trainerzahl
MSP1;Streetstyle Postbauer-Heng;17:00:00;18:00:00;Donnerstag;Postbauer-Heng;,014,;;;Streetstyle;1
SR3;Salsa Leistungsgruppe Regensburg;19:30:00;21:00:00;Donnerstag;Regensburg;,067,,106,;Ferienkurs;;Salsa Regensburg;2
Figos;Bewegungskünste;15:30:00;16:15:00;Donnerstag;Turnerheim;,005,,030,;;;Circusverein;2
Twisters;Turnen & Tanz;15:30:00;16:15:00;Donnerstag;Turnerheim;,001,,077,,097,;;;Circusverein;3
Figos;Turnen & Tanz;16:15:00;17:00:00;Donnerstag;Turnerheim;,005,,001,,006,,097,;;;Circusverein;4
Twisters;Bewegungskünste;16:15:00;17:00:00;Donnerstag;Turnerheim;,077,,030,;;;Circusverein;2
Artistiks;Turnen & Tanz;17:00:00;17:45:00;Donnerstag;Turnerheim;,001,,071,;;;Circusverein;2
Artistiks;Bewegungskünste;17:45:00;18:30:00;Donnerstag;Turnerheim;,001,,071,,030,;;;Circusverein;3
FC1;CrossTraining Do;18:30:00;19:00:00;Donnerstag;Turnerheim;,016,;;;Fitness und Gesundheit;1
FZ5;Dance Fitness;09:00:00;10:00:00;Freitag;ARTICO 1er;,012,;;;Fitness und Gesundheit;1
G42;Teensclub;15:30:00;16:30:00;Freitag;ARTICO 1er;,020,;;;Gesellschaftstanz;1
G51;Teenstanzclub;18:00:00;19:00:00;Freitag;ARTICO 1er;,020,;;;Gesellschaftstanz;1
G22;Tanzkreis;19:00:00;20:00:00;Freitag;ARTICO 1er;,020,,055,;;;Gesellschaftstanz;2
G32;Tanzwerkstatt;20:00:00;21:00:00;Freitag;ARTICO 1er;,020,,055,;;;Gesellschaftstanz;2
Saltos;Turnen & Tanz;14:45:00;15:30:00;Freitag;ARTICO 3er;,110,,060,;;;Circusverein;2
Sarasanis;Turnen & Tanz;15:30:00;16:15:00;Freitag;ARTICO 3er;,017,,082,;;;Circusverein;2
Monkeys;Turnen & Tanz;16:15:00;17:00:00;Freitag;ARTICO 3er;,013,,110,;;;Circusverein;2
Flips;Turnen & Tanz;17:00:00;17:45:00;Freitag;ARTICO 3er;,001,,013,;;;Circusverein;2
Roncallis;Turnen & Tanz;17:45:00;18:30:00;Freitag;ARTICO 3er;,017,,090,;;;Circusverein;2
B83;Ballett Attitudes 2;13:45:00;15:15:00;Freitag;ARTICO 4er;,012,;;;Ballett;1
B71;Ballett Allegros;15:15:00;16:15:00;Freitag;ARTICO 4er;,012,;;;Ballett;1
B92;Ballett Advanced;16:15:00;18:15:00;Freitag;ARTICO 4er;,012,;;;Ballett;1
FB3;Bodystyling;18:45:00;19:45:00;Freitag;ARTICO 4er;,017,;;;Fitness und Gesundheit;1
Saltos;Bewegungskünste;14:00:00;14:45:00;Freitag;ARTICO 5er;,110,,060,;;;Circusverein;2
G42;Jugendtanzkurs;15:30:00;16:30:00;Freitag;ARTICO 5er;,020,;;;Gesellschaftstanz;1
Monkeys;Bewegungskünste;15:30:00;16:15:00;Freitag;ARTICO 5er;,013,,110,;;;Circusverein;2
Sarasanis;Bewegungskünste;16:15:00;17:00:00;Freitag;ARTICO 5er;,017,,082,;;;Circusverein;2
Roncallis;Bewegungskünste;17:00:00;17:45:00;Freitag;ARTICO 5er;,017,,090,;;;Circusverein;2
Flips;Bewegungskünste;17:45:00;18:30:00;Freitag;ARTICO 5er;,001,,013,;;;Circusverein;2
SC1;Salsa Cubana Einsteiger;18:30:00;19:30:00;Freitag;ARTICO 5er;,019,;Ferienkurs;;Salsa Cubana;1
SC2;Salsa Cubana Aufbau;19:30:00;20:30:00;Freitag;ARTICO 5er;,019,;Ferienkurs;;Salsa Cubana;1
AM1;Schule Mühlhausen;11:30:00;13:00:00;Freitag;Mühlhausen;,001,;;;Projekt;1
CM1;Circussternchen Mühlhausen;14:30:00;15:30:00;Freitag;Mühlhausen;,006,,029,,056,;;;Circus;3
CM2;Circusjuniors Mühlhausen;15:30:00;16:30:00;Freitag;Mühlhausen;,006,,029,,056,;;;Circus;3
Wonderteens;Talentförderung;14:00:00;15:00:00;Freitag;OG T1;,001,,002,,005,,088,;;;Circusverein;4
Acrobatics;Turnen & Tanz;15:00:00;15:45:00;Freitag;OG T1;,005,,088,,002,;;;Circusverein;3
Party Pros;Talentförderung;15:45:00;16:45:00;Freitag;OG T1;,000,,002,,095,;;;Circusverein;3
Powerkids;Talentförderung;16:45:00;17:45:00;Freitag;OG T1;,002,,005,,088,,095,;;;Circusverein;4
Barellis;Turnen & Tanz;17:45:00;18:30:00;Freitag;OG T1;,002,,088,;;;Circusverein;2
Flick-Flacks;Turnen & Tanz;18:30:00;19:15:00;Freitag;OG T1;,000,;;;Circusverein;1
Dominos;Auftrittstraining & Partnerakro;19:15:00;20:15:00;Freitag;OG T1;,002,,000,;;;Circusverein;2
Acrobatics;Bewegungskünste;15:45:00;16:30:00;Freitag;OG T2;,071,,005,;;;Circusverein;2
Barellis;Bewegungskünste;17:00:00;17:45:00;Freitag;OG T2;,071,,030,;;;Circusverein;2
Flick-Flacks;Bewegungskünste;17:45:00;18:30:00;Freitag;OG T2;,005,;;;Circusverein;1
